swarm_x,obesity,Tract,GEOID,Highlight
0.0719,22.7,Tract 907,36081090700,Other Queens tracts
-0.0833,22.7,Tract 77,36081007700,Other Queens tracts
0.0114,22.6,Tract 183,36081018300,Other Queens tracts
0.0563,22.6,Tract 657.03,36081065703,Other Queens tracts
-0.1675,22.6,Tract 128,36081012800,Other Queens tracts
0.1816,22.6,Tract 480,36081048000,Other Queens tracts
-0.1835,22.6,Tract 150,36081015000,Other Queens tracts
0.1976,22.6,Tract 154,36081015400,Other Queens tracts
-0.008,22.5,Tract 153,36081015300,Other Queens tracts
0.0407,22.5,Tract 122,36081012200,Other Queens tracts
-0.0339,22.5,Tract 111,36081011100,Other Queens tracts
-0.069,22.5,Tract 108,36081010800,Other Queens tracts
-0.0977,22.5,Tract 669,36081066900,Other Queens tracts
-0.1264,22.5,Tract 489,36081048900,Other Queens tracts
0.1442,22.5,Tract 57,36081005700,Other Queens tracts
-0.1519,22.5,Tract 151,36081015100,Other Queens tracts
0.166,22.5,Tract 775,36081077500,Other Queens tracts
-0.0534,22.4,Tract 695,36081069500,Other Queens tracts
0.0838,22.4,Tract 285,36081028500,Other Queens tracts
0.1286,22.4,Tract 945,36081094500,Other Queens tracts
0.0263,22.3,Tract 846.01,36081084601,Other Queens tracts
0.1091,22.3,Tract 661,36081066100,Other Queens tracts
0.0039,22.2,Tract 470,36081047000,Other Queens tracts
-0.0219,22.2,Tract 79,36081007900,Other Queens tracts
0.0695,22.2,Tract 91,36081009100,Other Queens tracts
-0.0857,22.2,Tract 236,36081023600,Other Queens tracts
-0.1144,22.2,Tract 973,36081097300,Other Queens tracts
-0.0414,22.1,Tract 663.01,36081066301,Other Queens tracts
0.053900000000000003,22.1,Tract 247,36081024700,Other Queens tracts
-0.1444,22.1,Tract 65.02,36081006502,Other Queens tracts
0.1585,22.1,Tract 101,36081010100,Other Queens tracts
0.0383,22,Tract 119,36081011900,Other Queens tracts
-0.0713,22,Tract 245,36081024500,Other Queens tracts
0.0971,22,Tract 185.01,36081018501,Other Queens tracts
-0.1,22,Tract 155,36081015500,Other Queens tracts
0.1211,22,Tract 855,36081085500,Other Queens tracts
-0.1288,22,Tract 36,36081003600,Other Queens tracts
0.1429,22,Tract 121,36081012100,Other Queens tracts
-0.0099,21.9,Tract 1163.02,36081116302,Other Queens tracts
0.0188,21.9,Tract 59,36081005900,Other Queens tracts
-0.0557,21.9,Tract 554,36081055400,Other Queens tracts
0.0815,21.9,Tract 269.02,36081026902,Other Queens tracts
-0.0294,21.8,Tract 255,36081025500,Other Queens tracts
0.1845,21.8,Tract 187,36081018700,Other Queens tracts
-0.1918,21.8,Tract 892.01,36081089201,Other Queens tracts
0.2005,21.8,Tract 987,36081098700,Other Queens tracts
-0.2078,21.8,Tract 118,36081011800,Other Queens tracts
0.0044,21.7,Tract 189,36081018900,Other Queens tracts
0.0671,21.7,Tract 849.02,36081084902,Other Queens tracts
-0.0881,21.7,Tract 220.02,36081022002,Other Queens tracts
0.1091,21.7,Tract 137,36081013700,Other Queens tracts
-0.1168,21.7,Tract 779.07,36081077907,Other Queens tracts
-0.1762,21.7,Tract 52,36081005200,Other Queens tracts
-0.2283,21.7,Tract 677,36081067700,Other Queens tracts
0.239,21.7,Tract 140,36081014000,Other Queens tracts
-0.2443,21.7,Tract 271.01,36081027101,Other Queens tracts
0.0308,21.6,Tract 779.02,36081077902,Other Queens tracts
0.0515,21.6,Tract 69,36081006900,Other Queens tracts
-0.0437,21.6,Tract 75,36081007500,Other Queens tracts
0.1354,21.6,Tract 73,36081007300,Other Queens tracts
-0.1446,21.6,Tract 157,36081015700,Other Queens tracts
0.1542,21.6,Tract 181.02,36081018102,Other Queens tracts
-0.1606,21.6,Tract 1551.03,36081155103,Other Queens tracts
0.1702,21.6,Tract 169,36081016900,Other Queens tracts
-0.0174,21.5,Tract 135,36081013500,Other Queens tracts
-0.0737,21.5,Tract 468,36081046800,Other Queens tracts
0.0947,21.5,Tract 1033,36081103300,Other Queens tracts
-0.1024,21.5,Tract 478.02,36081047802,Other Queens tracts
0.2246,21.5,Tract 929,36081092900,Other Queens tracts
0.0164,21.4,Tract 179.01,36081017901,Other Queens tracts
-0.0581,21.4,Tract 1257,36081125700,Other Queens tracts
0.0791,21.4,Tract 1039,36081103900,Other Queens tracts
0.1211,21.4,Tract 717.01,36081071701,Other Queens tracts
-0.1303,21.4,Tract 257,36081025700,Other Queens tracts
0.193,21.4,Tract 1185,36081118500,Other Queens tracts
-0.2003,21.4,Tract 713.05,36081071305,Other Queens tracts
0.209,21.4,Tract 497,36081049700,Other Queens tracts
-0.2163,21.4,Tract 507,36081050700,Other Queens tracts
-0.0031,21.3,Tract 779.05,36081077905,Other Queens tracts
-0.0318,21.3,Tract 469.01,36081046901,Other Queens tracts
-0.1847,21.3,Tract 713.06,36081071306,Other Queens tracts
0.044,21.2,Tract 295,36081029500,Other Queens tracts
0.0648,21.2,Tract 743,36081074300,Other Queens tracts
-0.0904,21.2,Tract 1139,36081113900,Other Queens tracts
