Tract,GEOID,Obesity rate,Highlight
Tract 329,36081032900,24.6,Other Queens tracts
Tract 934.02,36081093402,24.6,Other Queens tracts
Tract 337,36081033700,24.6,Other Queens tracts
Tract 220.01,36081022001,24.5,Other Queens tracts
Tract 116,36081011600,24.5,Other Queens tracts
Tract 719,36081071900,24.5,Other Queens tracts
Tract 98,36081009800,24.5,Other Queens tracts
Tract 601,36081060100,24.5,Other Queens tracts
Tract 309.04,36081030904,24.5,Other Queens tracts
Tract 463,36081046300,24.5,Other Queens tracts
Tract 30,36081003000,24.4,Other Queens tracts
Tract 20,36081002000,24.4,Other Queens tracts
Tract 100,36081010000,24.4,Other Queens tracts
Tract 33.02,36081003302,24.4,Other Queens tracts
Tract 469.02,36081046902,24.3,Other Queens tracts
Tract 88,36081008800,24.3,Other Queens tracts
Tract 525,36081052500,24.3,Other Queens tracts
Tract 511,36081051100,24.3,Other Queens tracts
Tract 517,36081051700,24.3,Other Queens tracts
Tract 637,36081063700,24.3,Other Queens tracts
Tract 779.08,36081077908,24.3,Other Queens tracts
Tract 443.02,36081044302,24.2,Other Queens tracts
Tract 8,36081000800,24.2,Other Queens tracts
Tract 840,36081084000,24.2,Other Queens tracts
Tract 253.01,36081025301,24.2,Other Queens tracts
Tract 134,36081013400,24.2,Other Queens tracts
Tract 542,36081054200,24.2,Other Queens tracts
Tract 552,36081055200,24.1,Other Queens tracts
Tract 566,36081056600,24.1,Other Queens tracts
Tract 161,36081016100,24.1,Other Queens tracts
Tract 58,36081005800,24.1,Other Queens tracts
Tract 130,36081013000,24.1,Other Queens tracts
Tract 557,36081055700,24.1,Other Queens tracts
Tract 12,36081001200,24.1,Other Queens tracts
Tract 351,36081035100,24.1,Other Queens tracts
Tract 679,36081067900,24.1,Other Queens tracts
Tract 521,36081052100,24.1,Other Queens tracts
Tract 10,36081001000,24.0,Other Queens tracts
Tract 1072.01,36081107201,24.0,Other Queens tracts
Tract 484,36081048400,24.0,Other Queens tracts
Tract 114,36081011400,24.0,Other Queens tracts
Tract 124,36081012400,23.9,Other Queens tracts
Tract 496,36081049600,23.9,Other Queens tracts
Tract 667.01,36081066701,23.9,Other Queens tracts
Tract 132,36081013200,23.9,Other Queens tracts
Tract 136,36081013600,23.8,Other Queens tracts
Tract 158.01,36081015801,23.8,Other Queens tracts
Tract 156,36081015600,23.8,Other Queens tracts
Tract 884,36081088400,23.8,Other Queens tracts
Tract 745,36081074500,23.8,Other Queens tracts
Tract 65.01,36081006501,23.7,Other Queens tracts
Tract 102,36081010200,23.7,Other Queens tracts
Tract 583,36081058300,23.7,Other Queens tracts
Tract 493.01,36081049301,23.7,Other Queens tracts
Tract 115,36081011500,23.7,Other Queens tracts
Tract 693,36081069300,23.7,Other Queens tracts
Tract 96,36081009600,23.6,Other Queens tracts
Tract 112,36081011200,23.6,Other Queens tracts
Tract 515,36081051500,23.6,Other Queens tracts
Tract 659,36081065900,23.6,Other Queens tracts
Tract 934.01,36081093401,23.6,Other Queens tracts
Tract 460,36081046000,23.5,Other Queens tracts
Tract 558,36081055800,23.5,Other Queens tracts
Tract 159,36081015900,23.5,Other Queens tracts
Tract 309.05,36081030905,23.5,Other Queens tracts
Tract 492.02,36081049202,23.5,Other Queens tracts
Tract 235.02,36081023502,23.5,Other Queens tracts
Tract 26,36081002600,23.4,Other Queens tracts
Tract 461,36081046100,23.4,Other Queens tracts
Tract 235.01,36081023501,23.4,Other Queens tracts
Tract 585,36081058500,23.4,Other Queens tracts
Tract 106,36081010600,23.3,Other Queens tracts
Tract 104,36081010400,23.3,Other Queens tracts
Tract 553,36081055300,23.2,Other Queens tracts
Tract 144,36081014400,23.2,Other Queens tracts
Tract 466,36081046600,23.2,Other Queens tracts
Tract 143,36081014300,23.2,Other Queens tracts
Tract 138,36081013800,23.1,Other Queens tracts
Tract 482,36081048200,23.1,Other Queens tracts
Tract 181.01,36081018101,23.1,Other Queens tracts
Tract 214,36081021400,23.1,Other Queens tracts
Tract 467,36081046700,23.1,Other Queens tracts
Tract 633.01,36081063301,23.1,Other Queens tracts
Tract 645,36081064500,23.0,Other Queens tracts
Tract 665.01,36081066501,23.0,Other Queens tracts
Tract 145,36081014500,23.0,Other Queens tracts
Tract 635,36081063500,23.0,Other Queens tracts
Tract 919,36081091900,23.0,Other Queens tracts
Tract 287,36081028700,23.0,Other Queens tracts
Tract 147,36081014700,22.9,Other Queens tracts
Tract 641.01,36081064101,22.9,Other Queens tracts
Tract 587,36081058700,22.9,Other Queens tracts
Tract 539.01,36081053901,22.9,Other Queens tracts
Tract 31,36081003100,22.9,Other Queens tracts
Tract 1195,36081119500,22.8,Other Queens tracts
Tract 562,36081056200,22.8,Other Queens tracts
Tract 141,36081014100,22.8,Other Queens tracts
Tract 113,36081011300,22.8,Other Queens tracts
Tract 639,36081063900,22.8,Other Queens tracts
Tract 103,36081010300,22.8,Other Queens tracts
Tract 40.02,36081004002,22.8,Other Queens tracts
Tract 560,36081056000,22.8,Other Queens tracts
Tract 907,36081090700,22.7,Other Queens tracts
Tract 77,36081007700,22.7,Other Queens tracts
Tract 183,36081018300,22.6,Other Queens tracts
Tract 657.03,36081065703,22.6,Other Queens tracts
Tract 128,36081012800,22.6,Other Queens tracts
Tract 480,36081048000,22.6,Other Queens tracts
Tract 150,36081015000,22.6,Other Queens tracts
Tract 154,36081015400,22.6,Other Queens tracts
Tract 153,36081015300,22.5,Other Queens tracts
Tract 122,36081012200,22.5,Other Queens tracts
Tract 111,36081011100,22.5,Other Queens tracts
Tract 108,36081010800,22.5,Other Queens tracts
Tract 669,36081066900,22.5,Other Queens tracts
Tract 489,36081048900,22.5,Other Queens tracts
Tract 57,36081005700,22.5,Other Queens tracts
Tract 151,36081015100,22.5,Other Queens tracts
Tract 775,36081077500,22.5,Other Queens tracts
Tract 695,36081069500,22.4,Other Queens tracts
Tract 285,36081028500,22.4,Other Queens tracts
Tract 945,36081094500,22.4,Other Queens tracts
Tract 846.01,36081084601,22.3,Other Queens tracts
Tract 661,36081066100,22.3,Other Queens tracts
